county_fips,county_name,state,centroid_lat,centroid_lon
20025,"Clark, KS",KS,37.235512535221986,-99.82030398635295
20029,"Cloud, KS",KS,39.480293277998236,-97.64925787300639
20043,"Doniphan, KS",KS,39.78806040002374,-95.14679868969304
40045,"Ellis, OK",OK,36.21836446029218,-99.7546379414362
48309,"McLennan, TX",TX,31.552376268587306,-97.20177965772923
48337,"Montague, TX",TX,33.675683098727816,-97.72463972426253
48355,"Nueces, TX",TX,27.725539637110025,-97.61304230594978
51720,"Norton, VA",VA,36.93141576353189,-82.62624386361499
51740,"Portsmouth, VA",VA,36.846838919999634,-76.35404272814746
18143,"Scott, IN",IN,38.68507421898323,-85.74748028616825
18171,"Warren, IN",IN,40.346937181849086,-87.35330188803933
18177,"Wayne, IN",IN,39.864382355355886,-85.00983824347364
19097,"Jackson, IA",IA,42.17173546790929,-90.57425028646082
19141,"O'Brien, IA",IA,43.08375704082129,-95.62491378713389
19055,"Delaware, IA",IA,42.4712119692007,-91.36733448667803
19073,"Greene, IA",IA,42.03624153306765,-94.39683406538074
19079,"Hamilton, IA",IA,42.38375069678499,-93.70679229400999
40041,"Delaware, OK",OK,36.408199775015184,-94.80264841444023
46111,"Sanborn, SD",SD,44.02341732728925,-98.09134329321003
51810,"Virginia Beach, VA",VA,36.73353798092837,-76.04348547860994
72061,"Guaynabo, PR",PR,18.343817894976855,-66.11405551716751
20087,"Jefferson, KS",KS,39.23576284638811,-95.38343918962302
20089,"Jewell, KS",KS,39.78473318645306,-98.21833954684782
46109,"Roberts, SD",SD,45.62956820845965,-96.94609796409709
46121,"Todd, SD",SD,43.193384989615126,-100.71845039420212
53051,"Pend Oreille, WA",WA,48.53229304731611,-117.27399511451591
53059,"Skamania, WA",WA,46.023036082025456,-121.91474377164603
54011,"Cabell, WV",WV,38.42030494746309,-82.24171158128885
23011,"Kennebec, ME",ME,44.409111767933275,-69.76733332179856
24019,"Dorchester, MD",MD,38.482909090317605,-76.01254892310229
38103,"Wells, ND",ND,47.58752303871677,-99.66097447142327
30101,"Toole, MT",MT,48.655398307933545,-111.69563925160223
31003,"Antelope, NE",NE,42.17690727862423,-98.0666857277061
48275,"Knox, TX",TX,33.60609256381742,-99.74142701644813
31029,"Chase, NE",NE,40.524176600053806,-101.69798368082202
24025,"Harford, MD",MD,39.56109150112227,-76.31705649415791
24035,"Queen Anne's, MD",MD,39.06801418233725,-76.02027633327377
25009,"Essex, MA",MA,42.673092232732905,-70.95196700100874
26015,"Barry, MI",MI,42.59503952303413,-85.30895873611479
38045,"LaMoure, ND",ND,46.456900527741425,-98.53542669562445
38051,"McIntosh, ND",ND,46.111843826906494,-99.44119708358068
38095,"Towner, ND",ND,48.685539909160845,-99.24577986177118
38101,"Ward, ND",ND,48.22174535985024,-101.5418100838795
25003,"Berkshire, MA",MA,42.37069926032496,-73.20634678354466
25011,"Franklin, MA",MA,42.583092553094154,-72.59183801303043
25021,"Norfolk, MA",MA,42.16068851261102,-71.21110420820148
26159,"Van Buren, MI",MI,42.25130635116889,-86.01894506528471
26165,"Wexford, MI",MI,44.33833428972488,-85.57843748389486
40151,"Woods, OK",OK,36.766944026913485,-98.86510187469783
42073,"Lawrence, PA",PA,40.991247153451276,-80.33422809284698
42083,"McKean, PA",PA,41.8076982766285,-78.56904734669862
48441,"Taylor, TX",TX,32.301446259066566,-99.89015137437762
48451,"Tom Green, TX",TX,31.40444974831201,-100.46214598848303
55123,"Vernon, WI",WI,43.59387226348324,-90.83441066225475
72035,"Cayey, PR",PR,18.102910219137332,-66.14952625088601
72041,"Cidra, PR",PR,18.17371315187733,-66.16093273580326
47115,"Marion, TN",TN,35.129324357939815,-85.62203781478536
47125,"Montgomery, TN",TN,36.496887930813585,-87.38281328262084
51153,"Prince William, VA",VA,38.70300344154958,-77.48085391528
46015,"Brule, SD",SD,43.718073951765085,-99.08093328868974
46035,"Davison, SD",SD,43.67472433831375,-98.14595064799349
46039,"Deuel, SD",SD,44.760043160281825,-96.66801057388479
46049,"Faulk, SD",SD,45.071014699736516,-99.14528616802093
51075,"Goochland, VA",VA,37.72174520103876,-77.91596084711195
45001,"Abbeville, SC",SC,34.222592898147326,-82.45916542547504
48045,"Briscoe, TX",TX,34.53027498991687,-101.20855262907138
72011,"Añasco, PR",PR,18.288058436870603,-67.12062772301276
72013,"Arecibo, PR",PR,18.406873631055014,-66.67523252606844
51181,"Surry, VA",VA,37.1098381927128,-76.9001995609689
29005,"Atchison, MO",MO,40.430819151771345,-95.42808898266885
29009,"Barry, MO",MO,36.70986227778333,-93.82905567183782
39159,"Union, OH",OH,40.29940583632701,-83.37157009422755
31171,"Thomas, NE",NE,41.913585268588164,-100.55579398379255
48145,"Falls, TX",TX,31.25327535225587,-96.93586081683316
36057,"Montgomery, NY",NY,42.902291807254855,-74.43971570007935
36067,"Onondaga, NY",NY,43.005813556197886,-76.19463474743596
39105,"Meigs, OH",OH,39.082226176544694,-82.02286627151693
27153,"Todd, MN",MN,46.07061358391821,-94.89759096282953
27157,"Wabasha, MN",MN,44.284293928664745,-92.23027086288216
28013,"Calhoun, MS",MS,33.93646015045118,-89.33645596770603
26023,"Branch, MI",MI,41.916137910319485,-85.05902456379133
37001,"Alamance, NC",NC,36.04373147445875,-79.3994402339366
55077,"Marquette, WI",WI,43.81955995590499,-89.39872545322577
29203,"Shannon, MO",MO,37.157361149525464,-91.40046314982574
29133,"Mississippi, MO",MO,36.82808568003029,-89.29114530483317
29149,"Oregon, MO",MO,36.68664390771475,-91.40334847076605
31031,"Cherry, NE",NE,42.544986725713045,-101.11859469191396
31035,"Clay, NE",NE,40.52443473793173,-98.05128639270409
31037,"Colfax, NE",NE,41.57401084664914,-97.0864674690928
38027,"Eddy, ND",ND,47.7175859411926,-98.90162501634349
13205,"Mitchell, GA",GA,31.22532030903023,-84.19427546982408
13315,"Wilcox, GA",GA,31.972897241156023,-83.43234537904169
16033,"Clark, ID",ID,44.2839184961641,-112.3512463932217
17043,"DuPage, IL",IL,41.85195267810277,-88.08559582772857
47101,"Lewis, TN",TN,35.52727339338812,-87.49310382617453
48385,"Real, TX",TX,29.831781429323826,-99.82219944847674
48399,"Runnels, TX",TX,31.831118294380108,-99.97619278013082
55085,"Oneida, WI",WI,45.70555558620628,-89.52180829257262
40131,"Rogers, OK",OK,36.37157301366782,-95.60435911880214
60030,"Rose Island, ",,-14.543666301353376,-168.1468300791754
60040,"Swains Island, ",,-11.054966987644839,-171.0781738981225
69120,"Tinian, ",,15.002680741122044,145.62678809896866
48093,"Comanche, TX",TX,31.947968786606808,-98.55822762157257
36019,"Clinton, NY",NY,44.746182125459335,-73.67816577810788
31051,"Dixon, NE",NE,42.4932126530821,-96.86775695385563
41025,"Harney, OR",OR,43.06409852888363,-118.96793062835451
47087,"Jackson, TN",TN,36.35920578571768,-85.67315642322966
28023,"Clarke, MS",MS,32.04138036314805,-88.68942929547545
48485,"Wichita, TX",TX,33.987936296904294,-98.70357145447281
48489,"Willacy, TX",TX,26.46964022977576,-97.66121189880664
50025,"Windham, VT",VT,42.9906105107739,-72.7137954783417
72047,"Corozal, PR",PR,18.30431894806584,-66.32790856763107
21075,"Fulton, KY",KY,36.5540420280344,-89.1873623207857
21083,"Graves, KY",KY,36.72310321811679,-88.65120022075082
26027,"Cass, MI",MI,41.91536111747416,-85.99348946327335
30067,"Park, MT",MT,45.48834444414526,-110.52666170614795
30095,"Stillwater, MT",MT,45.66903900222792,-109.39521573669795
36073,"Orleans, NY",NY,43.25207730983017,-78.2312130736263
48049,"Brown, TX",TX,31.77424858238695,-98.99978018651187
48069,"Castro, TX",TX,34.52988759071033,-102.26167045823287
